,f190486d6,58e2e02e6,eeb9cd3aa,9fd594eec,6eef030c1,15ace8c9f,fb0f5dbfe,58e056e12,20aa07010,024c577b9,d6bb78916,b43a7cfd5,58232a6fb,1702b5bf0,324921c7b,62e59a501,2ec5b290f,241f0f867,fb49e4212,66ace2992,f74e8f13d,5c6487af1,963a49cdc,26fc93eb7,1931ccfdd,703885424,70feb1494,491b9ee45,23310aa6f,e176a204a,6619d81fc,1db387535,fc99f9426,91f701ba2,0572565c2,190db8488,adb64ff71,c47340d97,c5a231d81,0ff32eb98
3511,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
816,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
245,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
1383,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
2071,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
3492,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
378,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
2971,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
2366,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
4414,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
2790,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
3979,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
193,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
1189,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
3516,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
810,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
4443,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
3697,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
235,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
1382,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
4384,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
3418,0.0,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76
4396,400000.0,0.0,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76,1563411.76
921,60666.66,400000.0,0.0,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76,1563411.76
3176,267428.58,60666.66,400000.0,0.0,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76,1563411.76
650,1304800.0,267428.58,60666.66,400000.0,0.0,448666.66,406000.0,609200.0,528666.66,307000.0,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44,834800.0,115636.36,540000.0,1015000.0,1563411.76
