leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
1400000.0,,1400000.0,,,1400000.0,1400000.0,1400000.0,,1400000.0,,1400000.0,1400000.0,1400000.0,1400000.0,,,,,,1400000.0,1400000.0,,1400000.0,,,1400000.0,,,,,,,,,,,,1400000.0
,,,,,400000.0,400000.0,,,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,,400000.0
,600000.0,,,600000.0,600000.0,,,,,,,,600000.0,600000.0,600000.0,600000.0,600000.0,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,,600000.0,,,,,,,,600000.0
,10000000.0,,,,10000000.0,10000000.0,,,,,,,,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,2400000.0,,,,,,,,,,10000000.0
,,1500000.0,,1500000.0,,1500000.0,1500000.0,,,1500000.0,,,,1500000.0,1500000.0,1500000.0,,,,,,1500000.0,,,,,,,,,,,,,,,,1500000.0
,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,8000000.0,,,,,,,,,8000000.0
,350000.0,350000.0,350000.0,350000.0,350000.0,,,,,,,,,,,,,,,350000.0,350000.0,,,,,350000.0,,350000.0,,,,,,,,,,350000.0
,,,,,,,,,600000.0,,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,,600000.0,,,,,,,,600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16000000.0,16000000.0,,16000000.0,16000000.0,16000000.0,,,,,,16000000.0,,16000000.0,16000000.0,,,16000000.0,,,,,,,,,,,,,,,,,,,,16000000.0
20000000.0,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,20000000.0,20000000.0,,20000000.0,,,,20000000.0,,,20000000.0,,20000000.0,,,,20000000.0
10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,,,10814666.66,,,,,,,,,,,,,,,10814666.66
,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,2000000.0,2000000.0,2000000.0,,,,,,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,,,,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,3000000.0
,800000.0,800000.0,,,800000.0,800000.0,800000.0,800000.0,800000.0,,,,,800000.0,,800000.0,,,800000.0,800000.0,800000.0,800000.0,,,,,,,,,,,,,,,,800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,2500000.0,,,,,
34000.0,,,,,,,,34000.0,,34000.0,,,,,,34000.0,,,34000.0,34000.0,34000.0,,,34000.0,,,,,,,,,,,,,,34000.0
4000000.0,4000000.0,,,,4000000.0,4000000.0,4000000.0,,,,,,,,,4000000.0,,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,,,,,4000000.0
2600000.0,2600000.0,,,2600000.0,,2600000.0,,,,,,2600000.0,,2600000.0,,2600000.0,,2600000.0,,2600000.0,2600000.0,,,2600000.0,,,,2600000.0,2600000.0,2600000.0,,2600000.0,,,,,,2600000.0
25020000.0,25020000.0,,25020000.0,,,25020000.0,,,25020000.0,,,25020000.0,25020000.0,25020000.0,25020000.0,25020000.0,,25020000.0,,,25020000.0,25020000.0,,25020000.0,,25020000.0,,,,,,,25020000.0,,25020000.0,25020000.0,,25020000.0
,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
,,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,,,,,,,,,2800000.0,2800000.0,,,,,,2800000.0,,,,600000.0,,,,,,,,2800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000.0,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,3500000.0,,,,100000.0
700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,700000.0,,,700000.0,,700000.0,,700000.0,,,700000.0,,,,,,,,700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32000000.0,32000000.0,32000000.0,,,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,,,,,32000000.0,,,,32000000.0,,,,32000000.0
,,3500000.0,,,3500000.0,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,3500000.0,3500000.0,,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,,,,3500000.0,,3500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26428571.42,,,,,26428571.42,,,,,26428571.42,,26428571.42,,,,,,,,,,,,,,,,,,,,,,,2760000.0,26428571.42
10000000.0,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
,,,,,,,,,,,14000000.0,,14000000.0,,,,8500000.0,,1900000.0,,,,,,,,,,,,,,,,,,,14000000.0
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0
,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0
200000.0,,200000.0,,,,200000.0,,,,200000.0,200000.0,,,,,200000.0,,,,200000.0,200000.0,,,,,,,,,,,,,,,,,200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,163000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163000.0
3734230.76,3734230.76,,3734230.76,,3734230.76,3734230.76,3734230.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734230.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0
,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,,,200000.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000000.0,,,,,,,,10000000.0,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
3936000.0,3936000.0,3936000.0,3936000.0,,,3936000.0,3936000.0,3936000.0,3936000.0,3936000.0,3936000.0,,3936000.0,,3936000.0,3936000.0,3936000.0,3936000.0,,,3936000.0,,,3936000.0,,3936000.0,,3936000.0,,3936000.0,,3936000.0,3936000.0,,3936000.0,,,3936000.0
,,,2610000.0,2610000.0,,,,,2610000.0,,,,2610000.0,,,,,2610000.0,2610000.0,,,,,,,,,,,,,,,,,,,2610000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6000000.0,,,,,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,6000000.0
1704666.66,1704666.66,,,,,1704666.66,1704666.66,,,,,,,1704666.66,1704666.66,1704666.66,1704666.66,1704666.66,,,,1704666.66,1704666.66,,,,,,,,,,,,,,,1704666.66
,,,,,,,1600000.0,,,,,,,,,,1600000.0,,,,,,1600000.0,,,,,,,,,,,,,,,1600000.0
